runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_endcap_avg_dR_raw,MSTracklet_endcap_rms_dR_raw,MSeg_endcap_avg_dR_raw,MSeg_endcap_rms_dR_raw,MS1Vtx_endcap_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s
483370,2217830663,0,1.0,0.0,0.0,0.3120681941509247,0.3910226821899414,1913.0,0.29560065269470215,0.04857974871993065,3.966508388519287,6.859219074249268,5.0,20541.765625,34202.3984375,2,2,3,12,37,34,2,2,3,14,41,36,917
483370,1825687038,0,1.0,0.0,0.0,0.3403133451938629,0.40532976388931274,2178.0,0.16683387756347656,-2.44032883644104,6.238975524902344,4.883815765380859,4.0,12108.439453125,39795.42578125,6,4,2,14,46,50,6,4,2,21,50,51,947
483370,312606734,0,1.0,0.0,0.0,0.4022107422351837,0.4846073091030121,2100.0,0.9518686532974243,0.0,0.0,-1.0,3.0,22127.93359375,43671.3671875,4,5,2,13,38,38,4,5,2,14,42,41,938
483370,304961676,0,1.0,0.0,0.0,0.19672010838985443,0.2751231789588928,2518.0,2.1387014389038086,0.0,0.0,-1.0,3.0,28654.673828125,34010.70703125,4,4,1,11,32,31,4,4,1,13,36,33,1232
483370,356937753,0,1.0,0.0,0.0,0.3795849680900574,0.44258326292037964,1700.0,0.6255905628204346,0.5103808641433716,2.6473677158355713,4.680461883544922,7.0,26267.587890625,34474.01953125,12,3,2,14,30,46,13,3,2,14,40,50,904
483370,408354532,0,1.0,0.0,0.0,0.42840686440467834,0.4997360408306122,2745.0,0.921274721622467,0.0,0.0,-1.0,3.0,35127.88671875,27435.013671875,2,1,3,17,64,32,2,1,3,17,67,32,1076
483370,399987896,0,1.0,1.0009647607803345,1.0009647607803345,0.44397756457328796,0.5160531997680664,1771.0,2.2111124992370605,-0.49791526794433594,1.88791024684906,4.1178460121154785,3.0,23156.521484375,27083.109375,5,2,3,18,42,33,6,2,3,23,46,42,924
483370,3939892245,0,1.0,0.0,0.0,0.3403843343257904,0.3991604447364807,2268.0,0.003797769546508789,0.0,0.0,-1.0,3.0,26497.671875,31252.69140625,3,0,0,9,31,37,3,0,0,13,34,38,1033
483370,2544664036,0,1.0,0.0,0.0,0.30786505341529846,0.38104158639907837,2145.0,3.042714834213257,0.2597696781158447,1.2530009746551514,2.299506664276123,3.0,20073.2890625,20224.396484375,4,2,8,14,44,32,4,2,8,18,50,33,958
483370,2025628867,0,1.0,0.0,0.0,0.33308377861976624,0.407889187335968,1855.0,0.659713864326477,2.1720590591430664,5.684464931488037,10.166807174682617,3.0,26032.68359375,31100.99609375,5,2,4,19,35,33,6,2,4,19,41,35,940
483370,2840145671,0,1.0,0.9787230491638184,0.9787229895591736,0.3800106346607208,0.4689389169216156,2528.0,0.039688482880592346,-0.05031965300440788,1.9039350748062134,2.591568946838379,5.0,37964.453125,32883.26953125,4,6,0,10,50,42,4,6,0,11,52,43,1213
483370,3286625737,0,1.0,0.0,0.0,0.2959216237068176,0.390239417552948,2104.0,0.8843532204627991,20.32476234436035,20.32476234436035,20.32476234436035,3.0,3474.360595703125,33996.80859375,6,6,3,9,37,46,6,6,3,11,41,47,964
483370,3165752264,0,1.0,0.0,0.0,0.33505871891975403,0.4006674587726593,1950.0,1.8645910024642944,0.0,0.0,-1.0,5.0,24468.314453125,23787.919921875,7,2,0,14,40,47,7,2,0,21,50,49,980
483370,3727264495,0,1.0,0.0,0.0,0.31833237409591675,0.3834158480167389,2149.0,0.034428395330905914,-5.991854667663574,8.446540832519531,-0.011535994708538055,5.0,34282.71484375,29847.8125,4,2,3,2,42,35,4,2,3,4,44,36,1155
483370,3293327847,0,1.0,0.0,0.0,0.40912413597106934,0.4850642681121826,2144.0,1.936732292175293,0.8106252551078796,3.5237717628479004,6.173098087310791,4.0,34450.671875,34017.7578125,6,0,3,8,32,31,6,0,3,10,36,35,979
483370,3246498152,0,1.0,0.0,0.0,0.36691024899482727,0.4705926775932312,2605.0,0.4464186429977417,-0.36792781949043274,3.90303373336792,5.864633560180664,7.0,34693.01953125,31443.94921875,3,3,3,17,59,53,3,3,3,18,62,61,1272
483370,3243235131,0,1.0,0.0,0.0,0.34676307439804077,0.42667490243911743,1923.0,0.46163102984428406,0.0,0.0,-1.0,3.0,24049.982421875,43630.91015625,6,4,4,9,20,37,6,4,4,9,21,38,942
483370,2281616295,0,1.0,0.0,0.0,0.3331522047519684,0.42506569623947144,2468.0,0.38811635971069336,0.4817527234554291,0.8352965712547302,1.6605944633483887,3.0,37872.3125,37610.2421875,3,2,2,12,51,37,3,2,2,15,53,38,1278
483370,3065013293,0,1.0,0.0,0.0,0.39247390627861023,0.47614553570747375,2157.0,0.25383827090263367,0.09379451721906662,2.406686305999756,1.9050941467285156,6.0,20446.689453125,37152.23828125,3,3,2,13,44,42,3,3,2,16,53,48,914
483370,1362567809,0,1.0,0.0,0.0,0.3189445436000824,0.3982454538345337,1733.0,2.9677343368530273,0.5477460622787476,5.098536491394043,13.296323776245117,5.0,28731.396484375,45052.03515625,10,1,1,15,42,44,10,1,1,16,44,45,940
483370,1391926254,0,1.0,0.0,0.0,0.2965746521949768,0.36560189723968506,2554.0,2.7487266063690186,1.2624162435531616,3.2550907135009766,8.175572395324707,3.0,17032.166015625,20018.3828125,6,3,2,17,33,43,6,3,2,19,35,45,1201
483370,1486545431,0,1.0,0.0,0.0,0.34524500370025635,0.43331924080848694,2444.0,0.37570473551750183,0.16232596337795258,5.162931442260742,9.133960723876953,3.0,34087.6875,32618.62109375,3,4,6,7,35,32,3,4,6,8,41,33,1211
483370,1506169696,0,1.0,0.0,0.0,0.40431177616119385,0.48843103647232056,2247.0,2.3756444454193115,0.0,0.0,-1.0,3.0,30872.658203125,41229.62890625,2,0,2,10,46,37,4,0,2,10,46,38,985
483370,1696452926,0,1.0,0.0,0.0,0.3226710557937622,0.4212040901184082,1858.0,1.6246367692947388,0.1371852159500122,1.6936269998550415,3.670231342315674,4.0,8121.30712890625,33069.40625,4,1,3,7,39,40,4,1,3,8,41,41,992
483370,1364206315,0,1.0,0.0,0.0,0.37263983488082886,0.443434476852417,2135.0,0.2262420654296875,0.1850694715976715,3.4061713218688965,6.100560665130615,7.0,31795.796875,40443.09765625,10,2,3,8,57,61,10,2,3,8,62,64,1115
483370,1446227642,0,1.0,0.0,0.0,0.291272908449173,0.35007378458976746,2105.0,2.992807388305664,0.36965522170066833,1.5406590700149536,2.8234403133392334,4.0,31311.603515625,54477.33984375,4,0,2,6,25,32,4,0,2,7,27,35,1105
483370,1449874539,0,1.0,0.0,0.0,0.3561908006668091,0.4126758277416229,2688.0,0.17554771900177002,-3.9508585929870605,6.202003479003906,0.1877409815788269,4.0,34012.55859375,38594.23046875,9,0,3,11,66,34,9,0,3,11,66,36,1365
483370,1332721255,0,1.0,0.0,0.0,0.34601709246635437,0.42645543813705444,1860.0,0.13705039024353027,-0.13857249915599823,1.9693876504898071,3.588312864303589,3.0,36851.234375,23900.681640625,5,2,3,7,32,31,5,2,3,9,34,32,973
483370,1160732009,0,1.0,0.0,0.0,0.29246023297309875,0.3889302611351013,2003.0,0.681027889251709,0.13967610895633698,2.0892889499664307,3.3506124019622803,3.0,0.0,26223.78125,5,2,0,9,46,39,5,2,0,12,50,41,993
483370,909733994,0,1.0,0.0,0.0,0.3555726408958435,0.4206109046936035,2578.0,0.4010031223297119,0.0,0.0,-1.0,3.0,32839.1796875,23395.546875,5,2,3,5,55,36,5,2,3,6,59,41,1382
483370,915755405,0,1.0,0.0,0.0,0.40916332602500916,0.4758598804473877,1840.0,0.527543306350708,0.3387897312641144,5.056439399719238,9.114130973815918,3.0,38325.69921875,43796.75390625,7,1,4,17,48,35,7,1,4,21,52,38,1024
483370,810910704,0,1.0,0.9924739003181458,0.992473840713501,0.4072650671005249,0.46140140295028687,2174.0,0.10599851608276367,0.0,0.0,-1.0,3.0,26381.63671875,97309.3984375,1,1,2,18,52,41,1,2,3,23,55,41,1076
483370,468916848,0,1.0,0.0,0.0,0.44123178720474243,0.5135659575462341,2246.0,0.27718448638916016,0.0,0.0,-1.0,5.0,21847.841796875,23137.08203125,11,4,7,14,46,46,13,6,8,22,51,47,925
483370,599521647,0,1.0,0.0,0.0,0.34492024779319763,0.43518224358558655,2277.0,0.4994443655014038,-0.12588810920715332,0.2783803641796112,0.29880762100219727,5.0,36433.15234375,43660.8984375,5,2,4,10,41,38,5,2,4,10,42,40,1209
483370,652111037,0,1.0,0.0,0.0,0.30513858795166016,0.3804367184638977,1629.0,1.089211344718933,0.9778741002082825,3.2767174243927,7.352133274078369,3.0,23236.859375,45225.3671875,3,2,6,13,32,31,4,2,6,15,32,33,910
479615,845658554,0,1.0,0.0,0.0,0.3742484152317047,0.44527631998062134,1813.0,1.0891194343566895,0.0,0.0,-1.0,3.0,23637.068359375,23017.53125,4,5,6,21,37,46,4,5,6,24,41,48,995
479615,485453199,0,1.0,0.0,0.0,0.3758864104747772,0.4668005108833313,2920.0,0.9066000580787659,0.17725886404514313,1.5661532878875732,3.2754011154174805,4.0,30273.73828125,27819.171875,8,7,2,16,55,35,8,7,2,18,60,39,1588
479615,781495065,0,1.0,0.0,0.0,0.35183945298194885,0.4584254026412964,1711.0,2.2317540645599365,0.0,0.0,-1.0,3.0,24881.822265625,35160.078125,3,4,1,11,44,37,3,4,1,12,44,37,1027
479615,1066432020,0,1.0,0.0,0.0,0.3401135802268982,0.4328572154045105,2604.0,0.045074284076690674,-0.569887101650238,2.4869179725646973,3.3595800399780273,5.0,34848.625,33331.41796875,5,1,4,15,37,39,5,1,4,18,39,41,1155
479615,1065488679,0,1.0,0.8732977509498596,0.8732977509498596,0.3548524081707001,0.4210139214992523,1764.0,2.537014961242676,0.0,0.0,-1.0,3.0,29361.841796875,48263.6484375,10,5,3,10,40,31,10,5,3,10,41,31,1022
