runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_BIBM_raw,track_scalar_sum_pt_barrel_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s
482129,2622538783,0,1.0,0.09375,9.366552352905273,37.02027893066406,3.7020277976989746,4.655749797821045,9.671285629272461,0.40946877002716064,0.0,1.9751288890838623,6.24577522277832,8.203697204589844,3.8746533393859863,0.7037165760993958,-0.037875182926654816,2.5555145740509033,2.7538886070251465,32223.029296875,32275.1640625,3,32,18,13,8,16,3,32,18,14,9,18,1566
480957,3843434970,0,1.0,0.9333333373069763,0.0,19.304058074951172,2.7577226161956787,3.116440534591675,5.129824638366699,0.4034632444381714,0.0,3.722440719604492,0.29321905970573425,5.970370292663574,1.504286289215088,0.0383475124835968,0.5826255083084106,3.37044358253479,0.0,30050.9375,34500.02734375,14,15,19,10,8,9,18,16,21,12,8,9,806
480957,3504725348,0,1.0,0.20000000298023224,11.021614074707031,23.324445724487305,3.332063674926758,5.197177410125732,11.027731895446777,0.4704398810863495,0.0,1.0230882167816162,4.8005194664001465,3.087836980819702,1.8203684091567993,0.5566516518592834,0.7984538674354553,1.7086985111236572,0.0,24133.62890625,29412.01171875,5,25,19,12,20,18,5,27,21,12,20,18,1321
480957,1761216859,0,1.0,2.25,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.691682815551758,0.0,36392.265625,34699.1640625,18,8,19,13,26,22,21,9,21,14,26,22,1309
480957,1998668509,0,1.0,0.0714285746216774,5.8698859214782715,1.9906882047653198,0.9953441023826599,1.0066654682159424,1.1458942890167236,0.3846283555030823,0.0,0.4391135275363922,0.0,0.37675940990448,0.0,0.0,0.0,0.886860191822052,0.0,30596.11328125,23795.333984375,1,14,17,10,14,19,2,16,18,13,17,22,843
480957,2510473185,0,1.0,0.9523809552192688,8.76586627960205,58.84084701538086,8.405835151672363,11.887565612792969,22.64079475402832,1.5953967571258545,0.0,9.305986404418945,4.69026517868042,21.15297508239746,5.548036575317383,0.8609595894813538,2.858064889907837,1.2546416521072388,0.0,36046.3828125,31078.033203125,20,21,19,10,14,12,26,25,22,17,15,15,914
476348,1649276351,0,1.0,0.5,0.0,43.70083999633789,4.370083808898926,7.419341564178467,21.05704689025879,1.5403294563293457,0.0,11.163797378540039,1.8226896524429321,20.399185180664062,0.526884138584137,0.3046379089355469,0.008713747374713421,4.166800498962402,0.0,0.0,26741.486328125,6,12,20,13,22,19,6,16,22,20,22,20,823
476348,2649299645,0,1.0,0.1875,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9981868267059326,0.0,23758.697265625,26122.97265625,6,32,19,13,13,14,6,33,20,14,13,14,1464
476348,1083004803,0,1.0,0.4375,0.0,16.0693416595459,2.6782233715057373,3.479281187057495,7.033639430999756,-0.2508361339569092,0.0,1.8049448728561401,2.7645881175994873,3.611482858657837,0.03324379399418831,0.13789910078048706,0.0,2.4797110557556152,0.0,4382.13818359375,23210.44140625,7,16,16,10,22,13,9,16,17,11,22,13,1094
476301,774774124,0,1.0,0.5333333611488342,0.0,1.926498532295227,1.926498532295227,1.926498532295227,1.926498532295227,-0.09335274994373322,0.0,0.7611019015312195,0.0,0.37928566336631775,0.0,0.0057248021475970745,0.0,3.942250967025757,0.0,28036.783203125,21334.158203125,16,30,20,10,14,9,19,33,21,11,15,12,882
