runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b
480219,463853630,0,1.0,0.0,0.0,0.56115454,0.63044024,2098.0,2.2539306,0.0,0.0,-1.0,3.0,25898.068,43081.543,9,14,27,9,13,12,9,14,27,10,17,15,1310,0.6029765291647522,0.2645108030690324
480219,702136925,0,1.0,0.0,0.0,0.2300547,0.28364983,2016.0,0.88429946,7.300436,7.300436,7.300436,8.0,20785.412,32997.133,12,16,17,14,18,21,17,19,20,16,19,21,1064,0.520477952030389,0.8663643697093645
479913,3163730885,0,1.0,0.0,0.0,0.21721174,0.34193474,1655.0,0.16910529,0.17248324,4.903584,5.7596936,3.0,38723.07,34043.484,16,19,19,6,8,15,19,22,20,6,8,15,922,0.08653341041165419,0.11628194116536017
481968,525832633,0,1.0,0.0,0.0,0.32497647,0.3656527,2104.0,0.025222063,0.0,0.0,-1.0,7.0,30067.416,28216.203,10,23,18,16,9,6,11,25,20,16,9,7,1037,0.5019372838814173,0.8827338895943726
481968,1283187925,0,1.0,0.0,0.0,0.21059054,0.30081633,1998.0,0.16280366,0.0,0.0,-1.0,3.0,34834.17,26046.107,5,21,21,11,18,12,8,23,24,11,18,12,839,0.6395204812692055,0.3797804901742805
481968,620817019,0,1.0,0.0,0.0,0.15089121,0.21549657,2390.0,2.413287,0.0,0.0,-1.0,3.0,16333.958,28843.14,9,21,23,11,15,18,11,22,23,15,16,18,1096,0.4987330319487233,0.2622802036268256
477048,1486683626,0,1.0,0.0,0.0,0.17776008,0.26201534,1528.0,0.16035208,1.0261979,3.8077512,8.119295,3.0,17234.512,59385.383,13,23,18,15,13,12,21,25,19,15,13,12,841,0.0003045889855187722,0.09420349075679557
477048,2213739521,0,1.0,0.0,0.0,0.2357214,0.33898023,1564.0,2.871796,0.0,0.0,-1.0,4.0,18254.451,30784.527,7,10,16,15,9,8,11,13,18,18,12,11,843,0.0,0.19728030733840696
479929,449320120,0,1.0,0.0,0.0,0.2961123,0.37898833,1759.0,2.2552278,2.089614,4.5610905,10.858133,3.0,30034.59,27309.318,12,11,17,10,13,15,13,12,19,10,14,16,809,0.002679748499449741,0.10568610636107079
484442,2512182867,0,1.0,0.6840976,0.6840976,0.35226697,0.4635263,2213.0,0.55508494,-3.8517017,5.5617237,1.7296649,3.0,34244.344,37406.66,5,5,18,22,19,25,6,6,18,24,19,27,1270,0.005796173475881572,0.5429350794437556
473617,1027718652,0,1.0,0.0,0.0,0.2088884,0.27641928,1532.0,0.04055524,0.0,0.0,-1.0,4.0,12806.37,33511.906,7,24,16,13,8,10,7,26,17,13,9,12,870,0.5895145492869198,0.3715585632091212
481865,892495178,0,1.0,0.0,0.0,0.20788373,0.2626615,1881.0,2.5014613,-0.64891744,1.9528117,1.192924,3.0,8092.7256,24884.6,8,12,24,17,20,16,11,13,25,19,22,18,890,0.6518488469074782,0.11600568531583655
481865,1293885495,0,1.0,0.0,0.0,0.2606207,0.3499662,1831.0,0.7920456,-0.897473,4.554373,7.5779295,3.0,33007.598,35189.418,5,17,21,16,27,27,5,18,22,18,28,27,890,0.38589617973138635,0.15108517983023462
